Date,^BSVP,DJI,N225,SSEC
2007/4/25,49408,13668.11035,17667.33008,null
2007/4/26,49162,13676.32031,17371.9707,null
2007/4/27,49071,13595.45996,17452.61914,3950.010986
2007/4/30,49676,13465.66992,17455.36914,4013.084961
2007/5/2,49068,13266.73047,17451.76953,4049.700928
2007/5/3,49230,13424.38965,17236.16016,4021.677979
2007/5/4,48956,13424.95996,17429.16992,4046.39209
2007/5/7,49472,13295.00977,17400.41016,3899.177979
2007/5/8,50218,13482.34961,17274.98047,3986.042969
2007/5/9,50598,13553.73047,17394.91992,4048.292969
2007/5/10,50282,13639.48047,17669.83008,4030.258057
2007/5/11,50278,13612.98047,17656.83984,4072.225098
2007/5/14,51300,13635.41992,17748.11914,4110.378906
2007/5/15,50235,13489.41992,17736.96094,4173.708984
2007/5/16,50902,13545.83984,17553.7207,4151.132813
2007/5/17,50511,13360.25977,17677.93945,4179.775879
2007/5/18,50518,13352.04981,17512.98047,4272.11084
2007/5/21,51738,13337.66016,17529,4334.923828
2007/5/22,51631,13427.73047,17498.59961,4053.087891
2007/5/23,52078,13422.28027,17399.58008,4109.653809
2007/5/24,52423,13408.62012,17556.86914,4000.741943
2007/5/25,52208,13535.42969,17680.05078,3670.400879
2007/5/28,51813,13577.29981,17705.11914,3767.101074
2007/5/29,50531,13565.83984,17696.9707,3776.316895
2007/5/30,51618,13611.67969,17481.21094,3890.802979
2007/5/31,52120,13649.96973,17587.58984,3913.13501
2007/6/1,51713,13501.7002,17672.56055,3995.679932
2007/6/4,52528,13577.87012,17588.25977,4072.137939
2007/6/5,52268,13861.73047,17875.75,4176.479004
2007/6/6,53423,13907.25,17958.88086,4115.208984
2007/6/8,53243,13950.98047,17973.41992,4132.868164
2007/6/11,53162,13971.54981,18053.81055,4253.348145
2007/6/12,52049,13918.21973,18040.92969,4269.523926
2007/6/13,52330,14000.41016,18053.38086,4181.323242
2007/6/14,52777,13851.08008,17779.08984,4230.823242
2007/6/15,51797,13943.41992,17834.48047,4091.445068
2007/6/18,52994,13716.9502,17760.91016,3941.081055
2007/6/19,53713,13785.07031,17732.76953,3973.371094
2007/6/20,54519,13473.57031,17842.28906,4078.599121
2007/6/21,54730,13265.46973,17971.49023,3914.204102
2007/6/22,54644,13358.30957,18149.51953,3820.702881
2007/6/25,54029,13211.99023,18163.60938,3836.293945
2007/6/26,54657,13362.37012,18211.67969,3899.724121
2007/6/27,54267,13463.33008,18240.30078,3816.165039
2007/6/28,54042,13181.91016,18188.63086,3615.87207
2007/6/29,53852,13468.78027,18087.48047,3781.3479
2007/7/2,54143,13504.29981,18066.10938,3883.216064
2007/7/3,54147,13657.86035,17849.2793,3853.020996
2007/7/4,54392,13270.67969,17932.26953,3865.7229
2007/7/5,55371,13239.54004,18138.35938,3915.990967
2007/7/6,55700,13236.53027,18146.30078,3914.39502
2007/7/10,55696,13028.91992,18149.90039,3821.916016
2007/7/11,55932,12861.46973,18168.7207,3896.190918
2007/7/12,56444,12845.78027,18221.48047,3930.060059
2007/7/13,55883,13079.08008,18140.93945,3912.940918
2007/7/16,56356,13121.34961,18261.98047,4058.853027
2007/7/17,57613,13090.86035,18252.66992,4213.36084
2007/7/18,57644,13236.12988,18049.50977,4210.329102
2007/7/19,57374,13235.87988,17984.14063,4323.96582
2007/7/20,57660,13378.87012,18238.94922,4346.458008
2007/7/23,57556,13322.12988,18217.26953,4345.356934
2007/7/24,58125,13041.84961,18015.58008,4440.769043
2007/7/25,57443,13289.29004,18116.57031,4471.032227
2007/7/26,58037,13238.73047,18157.92969,4300.562988
2007/7/27,55795,13357.74023,17963.64063,4407.72998
2007/7/30,56001,13448.86035,18002.0293,4560.773926
2007/7/31,53893,13305.46973,17858.41992,4628.10791
2007/8/1,52922,13363.34961,17702.08984,4651.225098
2007/8/2,54573,13113.37988,17283.81055,4663.162109
2007/8/3,54183,13127.84961,17289.30078,4754.095215
2007/8/6,54234,13308.38965,17248.89063,4749.369141
2007/8/7,54691,13291.65039,16870.98047,4820.063965
2007/8/8,52846,13424.87988,16984.10938,4872.785156
2007/8/9,53091,13442.51953,16979.85938,4869.882813
2007/8/10,53802,13403.41992,16914.46094,4765.448242
2007/8/13,55241,13739.38965,16921.76953,4656.574219
2007/8/14,53431,13815.55957,17029.2793,4904.85498
2007/8/15,52638,13766.7002,17170.59961,4955.207031
2007/8/16,52434,13820.19043,16764.08984,4980.075195
2007/8/17,50912,13759.05957,16800.05078,5032.494141
2007/8/20,49285,13778.65039,16844.60938,5107.667969
2007/8/21,48016,13878.15039,16475.60938,5150.118164
2007/8/22,48559,13912.94043,16148.49023,5194.688965
2007/8/23,49206,13895.62988,15273.67969,5109.426758
2007/8/24,49815,14087.54981,15732.48047,5167.883789
2007/8/27,51745,14047.30957,15901.33984,5218.825195
2007/8/28,51848,13968.04981,15900.63965,5321.055176
2007/8/29,52998,13974.30957,16316.32031,5294.044922
2007/8/30,53078,14066.00977,16248.96973,5310.71582
2007/8/31,51645,14043.73047,16301.38965,5393.660156
2007/9/3,52735,14164.53027,16287.49023,5277.175781
2007/9/4,52858,14078.69043,16012.83008,5355.287109
2007/9/5,54637,14015.12012,16153.82031,5113.967773
2007/9/6,54833,14093.08008,16569.08984,5172.626953
2007/9/10,55250,13984.79981,16524.92969,5273.591797
2007/9/11,54408,13912.94043,16420.4707,5312.182129
2007/9/12,54569,13892.54004,16158.4502,5421.39209
2007/9/13,52653,13888.95996,16257,5425.208008
2007/9/14,53921,13522.01953,16122.16016,5395.265137
2007/9/17,53883,13566.96973,15764.96973,5470.064941
2007/9/18,54908,13676.23047,15877.66992,5454.673828
2007/9/19,54671,13675.25,15797.59961,5485.013184
2007/9/20,54341,13671.91992,15821.19043,5425.879883
2007/9/21,56666,13806.7002,16127.41992,5338.52002
2007/9/24,57264,13870.25977,15801.79981,5409.402832
2007/9/25,56906,13792.46973,16381.54004,5552.300781
2007/9/26,57799,13930.00977,16413.78906,5692.754883
2007/9/27,58719,13567.87012,16312.61035,5715.89209
2007/9/28,58858,13595.09961,16401.73047,5771.463867
2007/10/1,59715,13543.40039,16435.74023,5913.22998
2007/10/2,61052,13660.94043,16832.2207,5903.26416
2007/10/3,60465,13300.01953,16785.68945,6030.085938
2007/10/4,62340,13266.29004,16845.96094,6092.057129
2007/10/5,62017,13042.74023,17046.7793,6036.280762
2007/10/8,60099,12987.54981,17199.89063,5825.282227
2007/10/9,60407,13307.08984,17092.49023,5818.046875
2007/10/10,62319,13231.00977,17065.03906,5667.332031
2007/10/11,62661,13110.04981,17159.90039,5773.387207
2007/10/15,63549,13176.79004,17177.89063,5843.108887
2007/10/16,63197,12958.44043,17458.98047,5562.394043
2007/10/17,62456,13010.13965,17331.16992,5589.630859
2007/10/18,62969,12799.04004,17358.15039,5747.99707
2007/10/19,61718,12980.87988,17137.91992,5897.192871
2007/10/22,63194,12743.44043,16955.31055,5954.765137
2007/10/23,63261,12958.44043,17106.08984,5914.285156
2007/10/24,60894,13289.4502,16814.36914,5777.809082
2007/10/25,61215,13311.73047,16438.4707,5634.452148
2007/10/26,62697,13371.71973,16450.58008,5536.568848
2007/10/29,62625,13314.57031,16358.38965,5601.783203
2007/10/30,62341,13248.73047,16284.16992,5330.022949
2007/10/31,64276,13444.95996,16505.63086,5315.540039
2007/11/1,65044,13619.88965,16698.08008,5187.734863
2007/11/5,64383,13625.58008,16651.00977,5158.118164
2007/11/6,65318,13727.03027,16737.63086,5412.693848
2007/11/7,64050,13432.76953,16870.40039,5365.26709
2007/11/8,62960,13473.90039,16517.48047,5316.273926
2007/11/9,64503,13517.95996,16268.91992,5269.816895
2007/11/12,63501,13339.84961,16249.62988,5293.703125
2007/11/13,63562,13167.2002,16096.67969,5214.225098
2007/11/14,64321,13232.46973,15771.57031,4984.161133
2007/11/16,61527,13207.26953,15583.41992,5032.129883
2007/11/19,62927,13245.63965,15197.08984,4958.849121
2007/11/21,64631,13450.65039,15126.62988,4861.11084
2007/11/22,64609,13550.04004,15499.55957,4803.394043
2007/11/23,62336,13551.69043,15396.29981,5003.333008
2007/11/26,60582,13359.61035,15154.61035,4871.777832
2007/11/27,60653,13365.87012,15042.55957,4868.61084
2007/11/28,60971,13264.82031,15211.51953,4915.88916
2007/11/29,59069,13043.95996,14837.66016,5042.653809
2007/11/30,59432,13056.71973,14888.76953,5035.073242
2007/12/3,61715,12800.17969,15135.20996,5091.755859
2007/12/4,62156,12827.49023,15222.84961,5161.918945
2007/12/5,63006,12589.07031,15153.78027,5175.076172
2007/12/6,63200,12735.30957,15513.74023,5095.542969
2007/12/7,63482,12853.08984,15680.66992,4958.042969
2007/12/10,64928,12606.29981,15628.96973,5007.911133
2007/12/11,65791,12778.15039,15480.19043,4876.76123
2007/12/12,65639,12501.11035,15608.87988,4836.173828
2007/12/13,65446,12466.16016,15874.08008,4941.78418
2007/12/14,64512,12159.20996,15956.37012,5043.535156
2007/12/17,64742,12099.29981,15924.38965,5101.778809
2007/12/18,62861,11971.19043,16044.71973,5234.262207
2007/12/19,62445,12270.16992,15932.25977,5201.181152
2007/12/20,59828,12378.61035,15536.51953,5233.351074
2007/12/21,61096,12207.16992,15514.50977,5308.88916
2007/12/26,61722,12383.88965,15249.79004,5261.562988
2007/12/27,61716,12480.29981,15207.86035,5272.813965
2007/12/28,63098,12442.83008,15030.50977,5319.86084
2008/1/2,64288,12650.36035,15031.59961,5361.574219
2008/1/3,63774,12743.19043,15257,5393.342773
2008/1/4,63886,12635.16016,15552.58984,5386.530762
2008/1/7,62815,12265.12988,15653.54004,5435.807129
2008/1/8,62892,12200.09961,15564.69043,5456.541016
2008/1/9,61037,12247,15307.78027,5484.676758
2008/1/10,60772,12182.12988,14691.41016,5497.900879
2008/1/11,62081,12240.00977,14500.54981,5443.791016
2008/1/14,62674,12373.41016,14528.66992,5290.605957
2008/1/15,63515,12552.24023,14599.16016,5151.625977
2008/1/16,61942,12376.98047,14388.11035,5180.51416
2008/1/17,62188,12348.20996,14110.79004,4914.435059
2008/1/18,59907,12337.21973,13972.62988,4559.750977
2008/1/21,58777,12427.25977,13504.50977,4703.046875
2008/1/22,57037,12284.29981,13783.4502,4717.733887
