Date,Open,High,Low,Close,Adj Close,Volume
2001-08-07,4425.240234,4426.020020,4367.540039,4404.000000,4404.000000,0
2001-08-08,4413.129883,4515.410156,4413.129883,4514.100098,4514.100098,0
2001-08-09,4469.919922,4521.160156,4445.149902,4448.520020,4448.520020,0
2001-08-10,4470.750000,4491.450195,4394.089844,4476.910156,4476.910156,0
2001-08-13,4492.279785,4557.850098,4470.169922,4520.759766,4520.759766,0
2001-08-14,4547.750000,4589.600098,4523.350098,4589.600098,4589.600098,0
2001-08-15,4593.649902,4665.370117,4581.640137,4623.109863,4623.109863,0
2001-08-16,4651.029785,4710.140137,4632.680176,4687.330078,4687.330078,0
2001-08-17,4713.580078,4715.200195,4626.839844,4638.359863,4638.359863,0
2001-08-20,4520.120117,4595.750000,4520.120117,4550.359863,4550.359863,0
2001-08-21,4553.950195,4575.649902,4519.700195,4562.729980,4562.729980,0
2001-08-22,4509.029785,4575.439941,4483.040039,4487.520020,4487.520020,0
2001-08-23,4491.229980,4506.919922,4435.970215,4459.759766,4459.759766,0
2001-08-24,4430.419922,4430.419922,4303.339844,4310.319824,4310.319824,0
2001-08-27,4352.339844,4407.819824,4333.200195,4384.549805,4384.549805,0
2001-08-28,4405.220215,4406.970215,4340.649902,4368.379883,4368.379883,0
2001-08-29,4350.910156,4508.689941,4342.009766,4508.689941,4508.689941,0
2001-08-30,4495.919922,4576.330078,4469.589844,4503.859863,4503.859863,0
2001-08-31,4450.200195,4513.259766,4430.430176,4509.439941,4509.439941,0
2001-09-03,4520.000000,4526.270020,4446.270020,4454.770020,4454.770020,0
2001-09-04,4450.560059,4493.529785,4403.959961,4493.529785,4493.529785,0
2001-09-05,4476.799805,4510.580078,4410.779785,4424.910156,4424.910156,0
2001-09-06,4398.529785,4412.419922,4314.080078,4338.259766,4338.259766,0
2001-09-07,4274.759766,4305.649902,4244.859863,4302.160156,4302.160156,0
2001-09-10,4254.479980,4305.740234,4214.939941,4289.100098,4289.100098,0
2001-09-11,4294.620117,4304.569824,4169.669922,4176.930176,4176.930176,0
2001-09-12,null,null,null,null,null,null
2001-09-13,3902.929932,3952.669922,3902.929932,3952.489990,3952.489990,0
2001-09-14,3871.310059,3916.929932,3763.419922,3774.620117,3774.620117,0
2001-09-17,null,null,null,null,null,null
2001-09-18,3871.310059,3916.929932,3763.419922,3774.620117,3774.620117,0
2001-09-19,3670.729980,3781.169922,3663.659912,3781.169922,3781.169922,0
2001-09-20,3693.909912,3725.909912,3693.110107,3698.840088,3698.840088,0
2001-09-21,3599.729980,3607.199951,3588.459961,3591.850098,3591.850098,0
2001-09-24,3503.330078,3547.669922,3461.969971,3533.510010,3533.510010,0
2001-09-25,3622.459961,3649.189941,3473.560059,3493.780029,3493.780029,0
2001-09-26,3475.870117,3625.530029,3411.679932,3625.530029,3625.530029,0
2001-09-27,3586.810059,3602.179932,3546.270020,3567.629883,3567.629883,0
2001-09-28,3587.810059,3645.479980,3587.810059,3636.939941,3636.939941,0
2001-10-01,null,null,null,null,null,null
2001-10-02,3623.669922,3623.669922,3484.080078,3492.120117,3492.120117,0
2001-10-03,3480.189941,3511.379883,3436.250000,3446.260010,3446.260010,0
2001-10-04,3610.159912,3610.159912,3491.320068,3493.659912,3493.659912,0
2001-10-05,3502.370117,3585.639893,3467.939941,3585.459961,3585.459961,0
2001-10-08,3519.350098,3568.189941,3495.929932,3520.350098,3520.350098,0
2001-10-09,3561.159912,3618.929932,3535.199951,3618.929932,3618.929932,0
2001-10-10,null,null,null,null,null,null
2001-10-11,3721.060059,3810.840088,3716.189941,3789.929932,3789.929932,0
2001-10-12,3898.360107,3898.360107,3769.889893,3801.500000,3801.500000,0
