Date,IBM_Close,TSMC_Close,SP500,DJIA
22-Aug-16,160,28.4,4139.970215,18529.41992
23-Aug-16,160.26,28.5,4148.160156,18547.30078
24-Aug-16,159.05,28.39,4126.649902,18481.48047
25-Aug-16,158.63,28.6,4121.089844,18448.41016
26-Aug-16,158.32,28.64,4114.680176,18395.40039
29-Aug-16,159.72,28.7,4136.75,18502.99023
30-Aug-16,159.4,28.62,4129.339844,18454.30078
31-Aug-16,158.88,28.74,4120.290039,18400.88086
1-Sep-16,159.54,28.96,4120.169922,18419.30078
2-Sep-16,159.55,29.14,4137.700195,18491.96094
6-Sep-16,160.35,29.49,4150.109863,18538.11914
7-Sep-16,161.64,29.82,4150.509766,18526.14063
8-Sep-16,159,29.79,4141.459961,18479.91016
9-Sep-16,155.69,28.59,4039.949951,18085.44922
12-Sep-16,158.29,28.99,4099.470215,18325.07031
13-Sep-16,155.81,28.49,4039.919922,18066.75
14-Sep-16,154.05,28.62,4037.830078,18034.76953
15-Sep-16,155.66,29.18,4079.320068,18212.48047
16-Sep-16,153.84,28.91,4063.969971,18123.80078
19-Sep-16,154.87,29.93,4063.939941,18120.16992
20-Sep-16,154.45,29.9,4065.199951,18129.96094
21-Sep-16,155.53,30.5,4109.629883,18293.69922
22-Sep-16,156.11,30.66,4136.410156,18392.46094
23-Sep-16,154.98,30.12,4112.689941,18261.44922
26-Sep-16,153.98,29.84,4077.709961,18094.83008
27-Sep-16,156.77,30.4,4104.180176,18228.30078
28-Sep-16,158.29,30.33,4126.830078,18339.24023
29-Sep-16,158.11,30.4,4088.469971,18143.44922
30-Sep-16,158.85,30.59,4121.060059,18308.15039
3-Oct-16,157.61,30.72,4108.129883,18253.84961
4-Oct-16,156.46,30.39,4088.169922,18168.44922
5-Oct-16,157.08,30.53,4107.399902,18281.0293
6-Oct-16,156.88,30.77,4109.490234,18268.5
7-Oct-16,155.67,31.18,4096.25,18240.49023
10-Oct-16,157.02,31.28,4115.120117,18329.03906
11-Oct-16,154.79,30.73,4063.919922,18128.66016
12-Oct-16,154.29,31.35,4068.919922,18144.19922
13-Oct-16,153.72,30.53,4056.449951,18098.93945
14-Oct-16,154.45,30.66,4057.280029,18138.38086
17-Oct-16,154.77,30.57,4045.070068,18086.40039
18-Oct-16,150.72,30.86,4069.98999,18161.93945
19-Oct-16,151.26,30.98,4079.5,18202.61914
20-Oct-16,151.52,31.06,4074.179932,18162.34961
21-Oct-16,149.63,31.08,4073.850098,18145.71094
24-Oct-16,150.57,31.41,4093.219971,18223.0293
25-Oct-16,150.88,31.55,4077.800049,18169.26953
26-Oct-16,151.81,31.21,4070.76001,18199.33008
27-Oct-16,153.35,30.77,4058.75,18169.67969
28-Oct-16,152.61,30.77,4046.360107,18161.18945
31-Oct-16,153.69,31.1,4045.889893,18142.41992
1-Nov-16,152.79,30.71,4018.469971,18037.09961
2-Nov-16,151.95,30.39,3992.76001,17959.64063
3-Nov-16,152.37,30.28,3976.560059,17930.66992
4-Nov-16,152.43,30.24,3970.02002,17888.2793
7-Nov-16,155.72,31.35,4058.300049,18259.59961
8-Nov-16,155.17,31.34,4075.610107,18332.74023
9-Nov-16,154.81,30.59,4121.029785,18589.68945
10-Nov-16,160.22,29.44,4129.459961,18807.88086
11-Nov-16,161.27,29.93,4123.689941,18847.66016
14-Nov-16,158.21,28.85,4123.810059,18868.68945
15-Nov-16,158.67,29.2,4155.620117,18923.06055
16-Nov-16,159.29,29.86,4150.209961,18868.14063
17-Nov-16,159.8,29.47,4169.870117,18903.82031
18-Nov-16,160.39,29.47,4160.580078,18867.92969
21-Nov-16,162.77,29.65,4191.680176,18956.68945
